Provider ID,Hospital Name,City,State,County Name,Survey Response Rate Percent,Patient Survey Star Rating
10061,HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,JACKSON,26.0,2.0
50006,ST JOSEPH HOSPITAL,EUREKA,CA,HUMBOLDT,26.0,2.0
51325,MENDOCINO COAST DISTRICT HOSPITAL,FORT BRAGG,CA,MENDOCINO,26.0,2.0
30043,CANYON VISTA MEDICAL CENTER,SIERRA VISTA,AZ,COCHISE,24.0,2.0
40041,ST MARYS REGIONAL MEDICAL CENTER,RUSSELLVILLE,AR,POPE,24.0,2.0
50744,ANAHEIM GLOBAL MEDICAL CENTER,ANAHEIM,CA,ORANGE,24.0,2.0
50747,SOUTH COAST GLOBAL MEDICAL CENTER,SANTA ANA,CA,ORANGE,24.0,2.0
70011,CHARLOTTE HUNGERFORD HOSPITAL,TORRINGTON,CT,LITCHFIELD,24.0,2.0
30101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,BULLHEAD CITY,AZ,MOHAVE,23.0,2.0
50300,ST MARY MEDICAL CENTER,APPLE VALLEY,CA,SAN BERNARDINO,23.0,2.0
70012,ROCKVILLE GENERAL HOSPITAL,ROCKVILLE,CT,TOLLAND,23.0,2.0
10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,LAUDERDALE,22.0,2.0
30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",MESA,AZ,MARICOPA,22.0,2.0
50030,OROVILLE HOSPITAL,OROVILLE,CA,BUTTE,22.0,2.0
50110,LOMPOC VALLEY MEDICAL CENTER,LOMPOC,CA,SANTA BARBARA,22.0,2.0
50608,DELANO REGIONAL MEDICAL CENTER,DELANO,CA,KERN,22.0,2.0
60008,SAN LUIS VALLEY HEALTH,ALAMOSA,CO,ALAMOSA,22.0,2.0
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,HOUSTON,21.0,2.0
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,SELMA,AL,DALLAS,21.0,2.0
50128,TRI-CITY MEDICAL CENTER,OCEANSIDE,CA,SAN DIEGO,21.0,2.0
30037,ST LUKE'S MEDICAL CENTER,PHOENIX,AZ,MARICOPA,19.0,2.0
50305,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,CA,ALAMEDA,19.0,2.0
50570,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER,FOUNTAIN VALLEY,CA,ORANGE,19.0,2.0
50757,ALVARADO HOSPITAL MEDICAL CENTER,SAN DIEGO,CA,SAN DIEGO,19.0,2.0
50329,CORONA REGIONAL MEDICAL CENTER,CORONA,CA,RIVERSIDE,18.0,2.0
70005,WATERBURY HOSPITAL,WATERBURY,CT,NEW HAVEN,18.0,2.0
30030,ABRAZO CENTRAL CAMPUS,PHOENIX,AZ,MARICOPA,17.0,2.0
50281,ALHAMBRA HOSPITAL MEDICAL CENTER,ALHAMBRA,CA,LOS ANGELES,17.0,2.0
50502,SAINT VINCENT MEDICAL CENTER,LOS ANGELES,CA,LOS ANGELES,17.0,2.0
50745,CHAPMAN GLOBAL MEDICAL CENTER,ORANGE,CA,ORANGE,17.0,2.0
50055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,SAN FRANCISCO,CA,SAN FRANCISCO,16.0,2.0
50091,COMMUNITY HOSPITAL OF HUNTINGTON PARK,HUNTINGTON PARK,CA,LOS ANGELES,16.0,2.0
50102,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,RIVERSIDE,CA,RIVERSIDE,16.0,2.0
50417,SUTTER COAST HOSPITAL,CRESCENT CITY,CA,DEL NORTE,16.0,2.0
50580,LA PALMA INTERCOMMUNITY HOSPITAL,LA PALMA,CA,ORANGE,16.0,2.0
50727,COMMUNITY HOSPITAL OF LONG BEACH,LONG BEACH,CA,LOS ANGELES,16.0,2.0
50211,ALAMEDA HOSPITAL,ALAMEDA,CA,ALAMEDA,15.0,2.0
50257,GOOD SAMARITAN HOSPITAL,BAKERSFIELD,CA,KERN,15.0,2.0
50426,WEST ANAHEIM MEDICAL CENTER,ANAHEIM,CA,ORANGE,15.0,2.0
50523,SUTTER DELTA MEDICAL CENTER,ANTIOCH,CA,CONTRA COSTA,15.0,2.0
50045,EL CENTRO REGIONAL MEDICAL CENTER,EL CENTRO,CA,IMPERIAL,14.0,2.0
50350,BEVERLY HOSPITAL,MONTEBELLO,CA,LOS ANGELES,14.0,2.0
50056,ANTELOPE VALLEY HOSPITAL,LANCASTER,CA,LOS ANGELES,13.0,2.0
50755,SHERMAN OAKS HOSPITAL,SHERMAN OAKS,CA,LOS ANGELES,13.0,2.0
50024,PARADISE VALLEY HOSPITAL,NATIONAL CITY,CA,SAN DIEGO,12.0,2.0
50342,PIONEERS MEMORIAL HEALTHCARE DISTRICT,BRAWLEY,CA,IMPERIAL,12.0,2.0
50773,SAN LEANDRO HOSPITAL,SAN LEANDRO,CA,ALAMEDA,12.0,2.0
50063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,LOS ANGELES,CA,LOS ANGELES,10.0,2.0
50167,SAN JOAQUIN GENERAL HOSPITAL,FRENCH CAMP,CA,SAN JOAQUIN,10.0,2.0
50104,SAINT FRANCIS MEDICAL CENTER,LYNWOOD,CA,LOS ANGELES,9.0,2.0
50292,RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER,MORENO VALLEY,CA,RIVERSIDE,9.0,2.0
40074,NORTH METRO MEDICAL CENTER,JACKSONVILLE,AR,PULASKI,24.0,1.0
50133,RIDEOUT MEMORIAL HOSPITAL,MARYSVILLE,CA,YUBA,20.0,1.0
50378,PACIFICA HOSPITAL OF THE VALLEY,SUN VALLEY,CA,LOS ANGELES,19.0,1.0
50684,MENIFEE VALLEY MEDICAL CENTER,SUN CITY,CA,RIVERSIDE,19.0,1.0
